timestamp_sec_floor,timestamp,/electrical/temp_sensors/in.inlet_temp,/electrical/temp_sensors/out.outlet_temp
1761090218,10/21/25 | 07:43:38 PM,,19.56999969482422
1761090219,10/21/25 | 07:43:39 PM,,20.889999389648438
1761090220,10/21/25 | 07:43:40 PM,,18.6299991607666
1761090221,10/21/25 | 07:43:41 PM,,19.270000457763672
1761090222,10/21/25 | 07:43:42 PM,,19.75
1761090223,10/21/25 | 07:43:43 PM,,19.860000610351562
1761090224,10/21/25 | 07:43:44 PM,,19.3799991607666
1761090225,10/21/25 | 07:43:45 PM,,19.440000534057617
1761090226,10/21/25 | 07:43:46 PM,,19.729999542236328
1761090227,10/21/25 | 07:43:47 PM,,19.8799991607666
1761090228,10/21/25 | 07:43:48 PM,,19.420000076293945
1761090229,10/21/25 | 07:43:49 PM,,19.729999542236328
1761090230,10/21/25 | 07:43:50 PM,,19.459999084472656
1761090231,10/21/25 | 07:43:51 PM,,19.65999984741211
1761090232,10/21/25 | 07:43:52 PM,,19.969999313354492
1761090233,10/21/25 | 07:43:53 PM,,19.489999771118164
1761090234,10/21/25 | 07:43:54 PM,,19.15999984741211
1761090235,10/21/25 | 07:43:55 PM,,19.270000457763672
1761090236,10/21/25 | 07:43:56 PM,,19.270000457763672
1761090237,10/21/25 | 07:43:57 PM,,19.420000076293945
1761090238,10/21/25 | 07:43:58 PM,,20.079999923706055
1761090239,10/21/25 | 07:43:59 PM,,20.010000228881836
1761090240,10/21/25 | 07:44:00 PM,,19.239999771118164
1761090241,10/21/25 | 07:44:01 PM,,19.8799991607666
1761090242,10/21/25 | 07:44:02 PM,,19.700000762939453
1761090243,10/21/25 | 07:44:03 PM,,19.770000457763672
1761090244,10/21/25 | 07:44:04 PM,,19.6200008392334
1761090245,10/21/25 | 07:44:05 PM,,19.530000686645508
1761090246,10/21/25 | 07:44:06 PM,,16.899999618530273
1761090247,10/21/25 | 07:44:07 PM,,19.3799991607666
1761090248,10/21/25 | 07:44:08 PM,,19.420000076293945
1761090249,10/21/25 | 07:44:09 PM,,19.899999618530273
1761090250,10/21/25 | 07:44:10 PM,,21.610000610351562
1761090251,10/21/25 | 07:44:11 PM,,18.940000534057617
1761090252,10/21/25 | 07:44:12 PM,,19.700000762939453
1761090253,10/21/25 | 07:44:13 PM,,19.639999389648438
1761090254,10/21/25 | 07:44:14 PM,,19.68000030517578
1761090255,10/21/25 | 07:44:15 PM,,19.329999923706055
1761090256,10/21/25 | 07:44:16 PM,,19.860000610351562
1761090257,10/21/25 | 07:44:17 PM,,19.84000015258789
1761090258,10/21/25 | 07:44:18 PM,,19.700000762939453
1761090259,10/21/25 | 07:44:19 PM,,20.15999984741211
1761090260,10/21/25 | 07:44:20 PM,,19.489999771118164
1761090261,10/21/25 | 07:44:21 PM,,19.3799991607666
1761090262,10/21/25 | 07:44:22 PM,,19.75
1761090263,10/21/25 | 07:44:23 PM,,19.969999313354492
1761090264,10/21/25 | 07:44:24 PM,,19.75
1761090265,10/21/25 | 07:44:25 PM,,19.489999771118164
1761090266,10/21/25 | 07:44:26 PM,,19.729999542236328
1761090267,10/21/25 | 07:44:27 PM,,19.489999771118164
1761090268,10/21/25 | 07:44:28 PM,,19.68000030517578
1761090269,10/21/25 | 07:44:29 PM,,19.65999984741211
1761090270,10/21/25 | 07:44:30 PM,,19.969999313354492
1761090271,10/21/25 | 07:44:31 PM,,19.350000381469727
1761090272,10/21/25 | 07:44:32 PM,,19.030000686645508
1761090273,10/21/25 | 07:44:33 PM,,19.139999389648438
1761090274,10/21/25 | 07:44:34 PM,,19.18000030517578
1761090275,10/21/25 | 07:44:35 PM,,19.3799991607666
1761090276,10/21/25 | 07:44:36 PM,,19.3799991607666
1761090277,10/21/25 | 07:44:37 PM,,20.1200008392334
1761090278,10/21/25 | 07:44:38 PM,,19.75
1761090279,10/21/25 | 07:44:39 PM,,19.860000610351562
1761090280,10/21/25 | 07:44:40 PM,,19.530000686645508
1761090281,10/21/25 | 07:44:41 PM,,19.770000457763672
1761090282,10/21/25 | 07:44:42 PM,,19.3799991607666
1761090283,10/21/25 | 07:44:43 PM,,20.139999389648438
1761090284,10/21/25 | 07:44:44 PM,,19.770000457763672
1761090285,10/21/25 | 07:44:45 PM,,19.510000228881836
1761090286,10/21/25 | 07:44:46 PM,,19.84000015258789
1761090287,10/21/25 | 07:44:47 PM,,19.68000030517578
1761090288,10/21/25 | 07:44:48 PM,,20.030000686645508
1761090289,10/21/25 | 07:44:49 PM,,19.729999542236328
1761090290,10/21/25 | 07:44:50 PM,,19.510000228881836
1761090291,10/21/25 | 07:44:51 PM,,19.530000686645508
1761090292,10/21/25 | 07:44:52 PM,,19.3799991607666
1761090293,10/21/25 | 07:44:53 PM,,19.030000686645508
1761090294,10/21/25 | 07:44:54 PM,,19.65999984741211
1761090295,10/21/25 | 07:44:55 PM,,18.459999084472656
1761090296,10/21/25 | 07:44:56 PM,,19.030000686645508
